,,,
"This is a collection of field recordings and samples provided by Benn Jordan's Discord community. They are free to use for Discord members, royalty free, as long as credit is given in any releases.",,,
,,,
Artist name (this is where credit is given),Description/notes,Link to sample/recording,Used by? (Add artist names for any released tracks?)
informationcake,"Glass sounds, mister spray bottle, piano improv, and a sequence on the Medusa",https://drive.google.com/drive/folders/1474kYBbt6MNk64kR9Gpjgh7HrztT7yqk,
Jem Sabre,circuit bent toy gun. electric seagulls ,https://drive.google.com/drive/folders/1wGc6cBI2M_jJyElU0k5xOHRVu7OWbRMz,
Adam Johan Bergren,"A Collection of MIDI files I have used in ~50 tracks. Poorly labeled, but generally section A, B, C, etc. for a common ""code name"" will be in the same key (except when I write a section in a parallel key or something......)",https://drive.google.com/drive/folders/1uGJ7EYOlbe5To02Tw0ybSlKyRQnD4MTI?usp=sharing,
Adam Johan Bergren,"My Pigments Patches through mid APR 2024, around 375 or so",https://drive.google.com/file/d/1s40v1a-rZqgcpqVWxhVoRUuWnoAqWlU3/view?usp=drive_link,
Adam Johan Bergren,Analog Lab Presets (around 570 or so),https://drive.google.com/file/d/1HEkNwhCeCK2s7GK4b9nuTE6ekLyy8Ez1/view?usp=sharing,
